dataset,week,model,protocol,reference_protocol,metric,delta,ci_low,ci_high,n_clusters
oulab,4,temporal_hgb,activity_to_cutoff_valid,cutoff_valid,brier,0.001180447721195077,-0.0020538620231178744,0.0058318111622314445,22
oulab,4,temporal_hgb,activity_to_cutoff_valid,cutoff_valid,ece,0.009812310183168034,-0.016609647054527634,0.025493256961326285,22
oulab,4,temporal_hgb,cutoff_valid_to_activity,cutoff_valid,auc,0.018152397217037652,0.010888181089081447,0.02371044538857582,22
oulab,4,temporal_hgb,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.04385871236366823,0.02693498916822294,0.05978062200647197,22
oulab,4,temporal_hgb,cutoff_valid_to_activity,cutoff_valid,brier,-0.0030976984208993807,-0.0051983304838728785,-0.0010394679807605122,22
oulab,4,temporal_hgb,cutoff_valid_to_activity,cutoff_valid,ece,0.016903426618023132,-0.013850464609066396,0.02646748584702045,22
oulab,4,temporal_hgb,static_full,cutoff_valid,auc,0.063494306006461,0.053408000713598525,0.0737274822597123,22
oulab,4,temporal_hgb,static_full,cutoff_valid,pr_auc_risk,0.13589912201040188,0.11161763433554533,0.16230932289427968,22
oulab,4,temporal_hgb,static_full,cutoff_valid,brier,-0.024232520170820088,-0.02888840768927323,-0.01747313510544223,22
oulab,4,temporal_hgb,static_full,cutoff_valid,ece,-0.0020939044033538353,-0.004926299051475824,0.005258223413703688,22
oulab,6,base_lr_profile,activity_conditioned,cutoff_valid,auc,-0.008800988178737312,-0.014939042250716763,-0.0025657177769262476,22
oulab,6,base_lr_profile,activity_conditioned,cutoff_valid,pr_auc_risk,0.011027001535193093,-0.009526228816565516,0.030207493969892772,22
oulab,6,base_lr_profile,activity_conditioned,cutoff_valid,brier,0.007308971808969694,0.004961217770212852,0.009961325311599663,22
oulab,6,base_lr_profile,activity_conditioned,cutoff_valid,ece,-0.0019456423886504677,-0.007461071737884914,0.009274180716208153,22
oulab,6,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,auc,-0.01608252059881854,-0.02187953491750854,-0.011507190770567888,22
oulab,6,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.035814029176939766,-0.04658463886933881,-0.02666054131077463,22
oulab,6,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,brier,0.006503646312794986,0.0036122483834316902,0.0094384044160771,22
oulab,6,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,ece,0.031185786155936993,-0.0126401218561628,0.03997916389673036,22
oulab,6,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,auc,-0.01201894231388223,-0.01771815898875983,-0.00574670744519458,22
oulab,6,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.008339299316216464,-0.010800367289818147,0.026278889756112835,22
oulab,6,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,brier,0.010401183638181738,0.008020049870200802,0.012925529627361137,22
oulab,6,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,ece,0.04182852633923449,-0.007937054340390775,0.057587679985685834,22
oulab,6,base_lr_profile,static_full,cutoff_valid,auc,0.06050269128050534,0.049369692283426816,0.07319765580615997,22
oulab,6,base_lr_profile,static_full,cutoff_valid,pr_auc_risk,0.16762740998688197,0.1451295337608211,0.19093997722872155,22
oulab,6,base_lr_profile,static_full,cutoff_valid,brier,-0.01569497370247175,-0.019588294204183013,-0.011248377746176872,22
oulab,6,base_lr_profile,static_full,cutoff_valid,ece,-0.0036248766150750213,-0.00817861080522973,0.0070544078941656005,22
oulab,6,base_rf_gini,activity_conditioned,cutoff_valid,auc,0.028251492426116354,0.02108670724639417,0.033860424692763624,22
oulab,6,base_rf_gini,activity_conditioned,cutoff_valid,pr_auc_risk,0.06351883043251205,0.049779664697959886,0.07618109421201465,22
oulab,6,base_rf_gini,activity_conditioned,cutoff_valid,brier,-0.011680189642562122,-0.014631162610554601,-0.00859517981355537,22
oulab,6,base_rf_gini,activity_conditioned,cutoff_valid,ece,-0.010713526936571988,-0.017141430663144986,-0.004164135228269964,22
oulab,6,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,auc,-0.0005006870554551401,-0.0012271839575399596,0.00020176676892095762,22
oulab,6,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.00038927374626418487,-0.0023009870371070414,0.0012401870764950974,22
oulab,6,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,brier,-0.0007709421102342351,-0.0012595277156800693,-0.00027701190963410667,22
oulab,6,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,ece,-0.0106236877826568,-0.012022287042224107,-0.007977911995397935,22
oulab,6,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,auc,0.02802374201941027,0.021175765751550953,0.033555849777659824,22
oulab,6,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.06268903644058799,0.04877793388080523,0.07562536620378488,22
oulab,6,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,brier,-0.010333691409057044,-0.013088402652445574,-0.007373174074060964,22
oulab,6,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,ece,0.00243015789088713,-0.005324217461875133,0.006500910469200645,22
oulab,6,base_rf_gini,static_full,cutoff_valid,auc,0.061550205565645943,0.05408932761990085,0.06974368286198497,22
oulab,6,base_rf_gini,static_full,cutoff_valid,pr_auc_risk,0.12109441734962079,0.10434937648131273,0.14167641196951838,22
oulab,6,base_rf_gini,static_full,cutoff_valid,brier,-0.028320066154641693,-0.03183304204923635,-0.024211746180204195,22
oulab,6,base_rf_gini,static_full,cutoff_valid,ece,-0.01806737170600074,-0.03393658829330843,-0.0027861761136642876,22
oulab,6,stack_7_full,activity_conditioned,cutoff_valid,auc,0.02606758271015619,0.019742360275450913,0.03166102173653856,22
oulab,6,stack_7_full,activity_conditioned,cutoff_valid,pr_auc_risk,0.057052720890361175,0.04480261543360838,0.06874332058663252,22
oulab,6,stack_7_full,activity_conditioned,cutoff_valid,brier,-0.010447132205913562,-0.013736827951782767,-0.0069518078097860194,22
oulab,6,stack_7_full,activity_conditioned,cutoff_valid,ece,-0.0002737997601354805,-0.003224896490464093,0.0024482280113412125,22
oulab,6,stack_7_full,activity_to_cutoff_valid,cutoff_valid,auc,-0.0005905817441849148,-0.001441584393105652,0.00025223463658673124,22
oulab,6,stack_7_full,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.0008558604980263285,-0.0022328036200750965,0.0004992170447403266,22
oulab,6,stack_7_full,activity_to_cutoff_valid,cutoff_valid,brier,0.00030223992859518267,-0.00013432351726011952,0.0007300968214699006,22
oulab,6,stack_7_full,activity_to_cutoff_valid,cutoff_valid,ece,0.0006832668068617615,-0.006347171212548001,0.0060465846817897234,22
oulab,6,stack_7_full,cutoff_valid_to_activity,cutoff_valid,auc,0.02575123111227562,0.01931716478133424,0.031322993370599156,22
oulab,6,stack_7_full,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.05642155974968921,0.04429845561823087,0.06783638064751592,22
oulab,6,stack_7_full,cutoff_valid_to_activity,cutoff_valid,brier,-0.010001740595518505,-0.013136483836068549,-0.006529079306687371,22
oulab,6,stack_7_full,cutoff_valid_to_activity,cutoff_valid,ece,0.006886848543156233,-0.0017923075096488053,0.010531288594187673,22
oulab,6,stack_7_full,static_full,cutoff_valid,auc,0.05627331198137775,0.04945352004533268,0.06346857945239817,22
oulab,6,stack_7_full,static_full,cutoff_valid,pr_auc_risk,0.10828490821384151,0.09364986516743658,0.12752200270202244,22
oulab,6,stack_7_full,static_full,cutoff_valid,brier,-0.026009254631638723,-0.0290561480192675,-0.022209616032937567,22
oulab,6,stack_7_full,static_full,cutoff_valid,ece,-0.00081440501492854,-0.004532621833849546,0.0015332372874356471,22
oulab,6,temporal_hgb,activity_conditioned,cutoff_valid,auc,0.02831695131669454,0.020019565861009808,0.03450671424124866,22
oulab,6,temporal_hgb,activity_conditioned,cutoff_valid,pr_auc_risk,0.06974708746041769,0.05153066218732422,0.08407918554265516,22
oulab,6,temporal_hgb,activity_conditioned,cutoff_valid,brier,-0.00940179832356447,-0.013281012443416559,-0.004352814744755312,22
oulab,6,temporal_hgb,activity_conditioned,cutoff_valid,ece,-0.0016536652961518187,-0.004354284325233478,0.006394188925121975,22
oulab,6,temporal_hgb,activity_to_cutoff_valid,cutoff_valid,auc,-0.0016873377165185222,-0.0047190246639230386,0.0011738827195750033,22
oulab,6,temporal_hgb,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.004485822086514268,-0.01364734016738137,0.006498727653466148,22
oulab,6,temporal_hgb,activity_to_cutoff_valid,cutoff_valid,brier,0.001160632417310875,-0.0018367753560596272,0.005278003044826877,22
oulab,6,temporal_hgb,activity_to_cutoff_valid,cutoff_valid,ece,0.00652427249142289,-0.01519456617126366,0.022966828226764383,22
oulab,6,temporal_hgb,cutoff_valid_to_activity,cutoff_valid,auc,0.02794419754334243,0.020577995041651632,0.033908009475232356,22
oulab,6,temporal_hgb,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.0641588069205663,0.04773428104567586,0.07976575509956013,22
oulab,6,temporal_hgb,cutoff_valid_to_activity,cutoff_valid,brier,-0.007222796986612129,-0.00992498730360504,-0.00445931581295998,22
oulab,6,temporal_hgb,cutoff_valid_to_activity,cutoff_valid,ece,0.015700593408634844,-0.006757068505964503,0.024724896393914043,22
oulab,6,temporal_hgb,static_full,cutoff_valid,auc,0.06526559716723634,0.05691593944946338,0.07379341793481312,22
oulab,6,temporal_hgb,static_full,cutoff_valid,pr_auc_risk,0.1357120464175532,0.11571190720978003,0.1586221149571824,22
