dataset,week,protocol,model,n,n_clusters,cluster_unit,auc_mean,auc_ci_low,auc_ci_high,pr_auc_risk_mean,pr_auc_risk_ci_low,pr_auc_risk_ci_high,brier_mean,brier_ci_low,brier_ci_high,ece_mean,ece_ci_low,ece_ci_high
oulab,4,activity_conditioned,base_rf_gini,28956,22,presentation,0.7944716974710062,0.7695501309266501,0.8137353933044115,0.7998393717559862,0.7566265374321314,0.832050678896619,0.18323520292719986,0.17645284331247627,0.1912317144903009,0.03099711705920325,0.022963025259578797,0.04370452789882389
oulab,4,activity_conditioned,stack_7_full,28956,22,presentation,0.8120228217127229,0.7888490575064439,0.8289825487537426,0.8197185776246276,0.7794786952802576,0.848530488515756,0.17408380247228414,0.16750962700264085,0.18152866465930798,0.011927608604634807,0.009292889438167829,0.01789318647834738
oulab,4,activity_conditioned,temporal_hgb,28956,22,presentation,0.7583567538245287,0.7218940116095844,0.7890441409293503,0.7467601617267262,0.6774174257941328,0.7997652644813628,0.19832088576943097,0.18747363405350503,0.21211407056860776,0.007546122234862524,0.008394665407235723,0.04197819358516142
oulab,4,activity_to_cutoff_valid,base_lr_profile,27535,22,presentation,0.6303197421747981,0.6177694135750622,0.6428055544790909,0.5695187187950179,0.5418600960957841,0.5938418821850066,0.23458281413457285,0.23116803555050128,0.23809080293377446,0.029131621285221777,0.010104579614194135,0.05585592522104329
oulab,4,activity_to_cutoff_valid,base_rf_gini,27535,22,presentation,0.7726649809279762,0.749639156222371,0.7903447680687442,0.7486541884855076,0.7042768409022128,0.781870033962472,0.19106260415514292,0.185551403831525,0.1975445954183213,0.03104707912193283,0.021373957355599948,0.05034347347187986
oulab,4,activity_to_cutoff_valid,stack_7_full,27535,22,presentation,0.7913091404390902,0.7704188551675811,0.8065908968989586,0.772735248275386,0.7336359397615336,0.8015136133950563,0.18205181038712206,0.17717775039088993,0.18789987408473133,0.011577712513043771,0.008625061020492496,0.021976160836077764
oulab,4,activity_to_cutoff_valid,temporal_hgb,27535,22,presentation,0.7371649777292107,0.7034055581723347,0.7659891787085985,0.6894007325628995,0.6233677917039271,0.746406532279386,0.20496448114116575,0.19477938566427977,0.218829533642913,0.020271141035914788,0.007472124971649247,0.06142582801946155
oulab,4,cutoff_valid,base_lr_profile,27535,22,presentation,0.6477625192030234,0.6343025055240772,0.6615644777126726,0.6061507934537224,0.5797440034593297,0.6275977614307072,0.22859634902787937,0.22329598093736894,0.2340166934532902,0.007335229068012869,0.007091003530634447,0.034470286922685875
oulab,4,cutoff_valid,base_rf_gini,27535,22,presentation,0.7728463423700489,0.7504753304065199,0.7901520383103091,0.7486682611581844,0.7072677149839575,0.7802258951078823,0.19167709394897922,0.18646649938570864,0.1978905415540016,0.038493017027702664,0.0283942517675028,0.055577077102465594
oulab,4,cutoff_valid,stack_7_full,27535,22,presentation,0.7916796302252824,0.7710963402459957,0.8065949213091563,0.7728449990416493,0.7339805271471889,0.8012173910264725,0.1819394701132997,0.17710898715176585,0.1876341956409584,0.013021971814920279,0.010560406463044236,0.01976862100887446
oulab,4,cutoff_valid,temporal_hgb,27535,22,presentation,0.7389888865046141,0.7074220405376548,0.7651084236082484,0.6958717321429225,0.6353215882413146,0.7429166065661126,0.20378403341997067,0.1959585560843196,0.2133199723318971,0.010458830852746754,0.008452838968126096,0.04018075522704937
