comparison_type,dataset,week_from,week_to,model,budget,protocol,reference_protocol,jaccard,intersection,union
protocol,oulab,2,2,base_knn,0.1,static_full,cutoff_valid,0.2296912634114298,1049,4567
evaluation_population,oulab,2,2,base_knn,0.1,activity_conditioned,activity_to_cutoff_valid,0.6073268460217516,2122,3494
evaluation_population,oulab,2,2,base_knn,0.1,cutoff_valid,cutoff_valid_to_activity,0.3130699088145897,1339,4277
protocol,oulab,2,2,base_knn,0.2,activity_conditioned,cutoff_valid,0.4838709677419355,3660,7564
protocol,oulab,2,2,base_knn,0.2,activity_to_cutoff_valid,cutoff_valid,0.8206001622060016,5059,6165
protocol,oulab,2,2,base_knn,0.2,cutoff_valid_to_activity,cutoff_valid,0.5225176342919153,3852,7372
protocol,oulab,2,2,base_knn,0.2,static_full,cutoff_valid,0.3099906629318394,2656,8568
evaluation_population,oulab,2,2,base_knn,0.2,activity_conditioned,activity_to_cutoff_valid,0.5638846314616135,4047,7177
evaluation_population,oulab,2,2,base_knn,0.2,cutoff_valid,cutoff_valid_to_activity,0.5225176342919153,3852,7372
protocol,oulab,2,2,base_lr_clickstream,0.01,activity_conditioned,cutoff_valid,0.027422303473491772,15,547
protocol,oulab,2,2,base_lr_clickstream,0.01,activity_to_cutoff_valid,cutoff_valid,0.6011396011396012,211,351
protocol,oulab,2,2,base_lr_clickstream,0.01,cutoff_valid_to_activity,cutoff_valid,0.027422303473491772,15,547
protocol,oulab,2,2,base_lr_clickstream,0.01,static_full,cutoff_valid,0.23788546255506607,108,454
evaluation_population,oulab,2,2,base_lr_clickstream,0.01,activity_conditioned,activity_to_cutoff_valid,0.15876288659793814,77,485
evaluation_population,oulab,2,2,base_lr_clickstream,0.01,cutoff_valid,cutoff_valid_to_activity,0.027422303473491772,15,547
protocol,oulab,2,2,base_lr_clickstream,0.05,activity_conditioned,cutoff_valid,0.11561382598331346,291,2517
protocol,oulab,2,2,base_lr_clickstream,0.05,activity_to_cutoff_valid,cutoff_valid,0.8233766233766234,1268,1540
protocol,oulab,2,2,base_lr_clickstream,0.05,cutoff_valid_to_activity,cutoff_valid,0.11961722488038277,300,2508
protocol,oulab,2,2,base_lr_clickstream,0.05,static_full,cutoff_valid,0.22942206654991243,524,2284
