dataset,week,model,contrast,left_protocol,right_protocol,metric,delta,ci_low,ci_high,n_clusters,cluster_unit,identity_residual
oulab,2,base_lr_profile,joint_population_difference,activity_conditioned,cutoff_valid,auc,-0.014942345517211741,-0.025554466011901575,-0.006374301957315521,22,presentation,0.0
oulab,2,base_lr_profile,joint_population_difference,activity_conditioned,cutoff_valid,pr_auc_risk,-0.019817253555444503,-0.04591930158574646,0.0013737267408931724,22,presentation,0.0
oulab,2,base_lr_profile,joint_population_difference,activity_conditioned,cutoff_valid,brier,0.0055064701107420955,0.003568526566829191,0.007771686364069275,22,presentation,0.0
oulab,2,base_lr_profile,joint_population_difference,activity_conditioned,cutoff_valid,ece,-0.00011582615073043624,-0.00947142733624591,0.005928690333000858,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,auc,0.007189050829942589,0.0011439378284149094,0.014051116568454067,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,pr_auc_risk,0.018814192603367252,0.0029267993438168304,0.03426383069216655,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,brier,-0.0005722754218052684,-0.0017719290536998833,0.00037083120711160235,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,ece,-0.009177659090565827,-0.019434346533233213,0.011991130157352831,22,presentation,0.0
oulab,2,base_lr_profile,training_population_component,activity_to_cutoff_valid,cutoff_valid,auc,-0.02213139634715433,-0.02943892462264069,-0.016448957283711253,22,presentation,0.0
oulab,2,base_lr_profile,training_population_component,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.038631446158811755,-0.05182062925630913,-0.028100838654408412,22,presentation,0.0
oulab,2,base_lr_profile,training_population_component,activity_to_cutoff_valid,cutoff_valid,brier,0.006078745532547364,0.004125724461931775,0.008358304669863075,22,presentation,0.0
oulab,2,base_lr_profile,training_population_component,activity_to_cutoff_valid,cutoff_valid,ece,0.00906183293983539,-0.010130043494290942,0.013119929862597768,22,presentation,0.0
oulab,2,base_lr_profile,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,auc,0.0025458534180476944,0.00019496688840154875,0.004934233634837256,22,presentation,0.0
oulab,2,base_lr_profile,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,pr_auc_risk,0.0017564290766673984,-0.0013016363904283096,0.004723595122002994,22,presentation,0.0
oulab,2,base_lr_profile,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,brier,-0.0012813295150472803,-0.0034828431298915335,0.0006540242794192232,22,presentation,0.0
oulab,2,base_lr_profile,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,ece,-0.021080246510418586,-0.030291050683760003,0.02203493510406013,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,auc,-0.017488198935259436,-0.02679287410118032,-0.009804038077410034,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,-0.0215736826321119,-0.045692266637184335,-0.0020359761869948347,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,brier,0.006787799625789376,0.004787913979963638,0.00881861830750632,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,ece,0.020964420359688152,-0.023326230046560918,0.03338246331920595,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_shapley,combination,combination,auc,-0.005149574052658423,-0.012203008598103927,0.0016249263634638407,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_shapley,combination,combination,pr_auc_risk,-0.0013797450143723244,-0.02041889437987351,0.01562039586295271,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_shapley,combination,combination,brier,0.0031077621019920537,0.0016352787976594905,0.00444840910549436,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_shapley,combination,combination,ece,0.005893380634561162,-0.018965978073222426,0.022081946007748685,22,presentation,0.0
oulab,2,base_lr_profile,training_population_shapley,combination,combination,auc,-0.009792771464553318,-0.01417920691323621,-0.0063008517661627475,22,presentation,0.0
oulab,2,base_lr_profile,training_population_shapley,combination,combination,pr_auc_risk,-0.01843750854107218,-0.025921451626394303,-0.012800226156418617,22,presentation,0.0
oulab,2,base_lr_profile,training_population_shapley,combination,combination,brier,0.0023987080087500418,0.00043405924840943244,0.004339598780025989,22,presentation,0.0
oulab,2,base_lr_profile,training_population_shapley,combination,combination,ece,-0.006009206785291598,-0.020063470232209883,0.016022379563830336,22,presentation,0.0
oulab,2,base_lr_weekly,joint_population_difference,activity_conditioned,cutoff_valid,auc,0.002866181224224551,-0.0079043725697785,0.011487290302549587,22,presentation,0.0
oulab,2,base_lr_weekly,joint_population_difference,activity_conditioned,cutoff_valid,pr_auc_risk,0.00885213148967301,-0.01920344934725915,0.03261901240450782,22,presentation,0.0
