dataset,week,model,protocol,reference_protocol,metric,delta,ci_low,ci_high,n_clusters
oulab,2,base_rf_entropy,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.015721123892684874,-0.010301988709339368,0.03869309884030985,22
oulab,2,base_rf_entropy,cutoff_valid_to_activity,cutoff_valid,brier,-0.0015864530930690957,-0.003926086349259379,0.0009461819839402704,22
oulab,2,base_rf_entropy,cutoff_valid_to_activity,cutoff_valid,ece,-0.014113024730097037,-0.02371451783056364,0.015017188278416862,22
oulab,2,base_rf_entropy,static_full,cutoff_valid,auc,0.059100714519943365,0.04891037629960879,0.06923905702997446,22
oulab,2,base_rf_entropy,static_full,cutoff_valid,pr_auc_risk,0.13698186231875886,0.10994563903385611,0.16463291506787506,22
oulab,2,base_rf_entropy,static_full,cutoff_valid,brier,-0.02213270164460457,-0.02660019692689711,-0.01758237091662385,22
oulab,2,base_rf_entropy,static_full,cutoff_valid,ece,-0.029586869536303677,-0.046607998041627595,0.02491566404159217,22
oulab,2,base_rf_gini,activity_conditioned,cutoff_valid,auc,0.007275803400053293,-0.0026777656598264143,0.015667954084895134,22
oulab,2,base_rf_gini,activity_conditioned,cutoff_valid,pr_auc_risk,0.020075263233882756,-0.006915640671702841,0.043134622836045196,22
oulab,2,base_rf_gini,activity_conditioned,cutoff_valid,brier,-0.0019568377512301782,-0.0044406679375973155,0.0010642789699122246,22
oulab,2,base_rf_gini,activity_conditioned,cutoff_valid,ece,-0.007344570954928974,-0.01294943393602139,0.002504531279924166,22
oulab,2,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,auc,-0.00041408226405625914,-0.0020920023074585932,0.0009527339867304773,22
oulab,2,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.001875066927865765,-0.006278710841692003,0.001665191813935932,22
oulab,2,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,brier,0.0009176083181415828,-2.8191057208226663e-05,0.001977555664193739,22
oulab,2,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,ece,0.009032915989057339,-0.0003701392374636979,0.011617047523409718,22
oulab,2,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,auc,0.005415959120971148,-0.004225627932412079,0.013489424616676304,22
oulab,2,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.015876305656150058,-0.010157574098602126,0.0386604359789774,22
oulab,2,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,brier,-0.0015676316810954716,-0.0038786949235432014,0.000938566045494693,22
oulab,2,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,ece,-0.012365655033791303,-0.02359222882556735,0.013749382527023528,22
oulab,2,base_rf_gini,static_full,cutoff_valid,auc,0.05920645182657802,0.048987205831845966,0.06929581278055377,22
oulab,2,base_rf_gini,static_full,cutoff_valid,pr_auc_risk,0.13757502171962677,0.11040264532336683,0.1653117835633827,22
oulab,2,base_rf_gini,static_full,cutoff_valid,brier,-0.022205733118227405,-0.026685494743298708,-0.017639106837896174,22
oulab,2,base_rf_gini,static_full,cutoff_valid,ece,-0.028310042231223055,-0.04628237464868709,0.024448513685591516,22
oulab,2,base_svm,activity_conditioned,cutoff_valid,auc,-0.009289810031720025,-0.021070644855571478,0.0015596498980515073,22
oulab,2,base_svm,activity_conditioned,cutoff_valid,pr_auc_risk,-0.01232269407972042,-0.04007863913455261,0.013582537902887265,22
oulab,2,base_svm,activity_conditioned,cutoff_valid,brier,0.003716326166209566,0.0016518820970232335,0.0059341871432979035,22
oulab,2,base_svm,activity_conditioned,cutoff_valid,ece,0.008561520214466475,-0.010498959797557288,0.014966332490319666,22
oulab,2,base_svm,activity_to_cutoff_valid,cutoff_valid,auc,-0.005736221688267595,-0.009371257852228861,-0.0015677914812779333,22
oulab,2,base_svm,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.014003766257340344,-0.02281730753240396,-0.00381906864359464,22
oulab,2,base_svm,activity_to_cutoff_valid,cutoff_valid,brier,0.0024539393197855475,0.00040254253100119113,0.004632862900460193,22
oulab,2,base_svm,activity_to_cutoff_valid,cutoff_valid,ece,0.010716416897754898,-0.01090118371010975,0.017213812776186117,22
oulab,2,base_svm,cutoff_valid_to_activity,cutoff_valid,auc,-0.005631594403825324,-0.016632747893366086,0.0036034786386721328,22
oulab,2,base_svm,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,-0.0065292676400762195,-0.0345608525068736,0.020112779880827936,22
oulab,2,base_svm,cutoff_valid_to_activity,cutoff_valid,brier,0.004378960253590691,0.002743658126399165,0.005974887114117694,22
oulab,2,base_svm,cutoff_valid_to_activity,cutoff_valid,ece,0.010462354421844886,-0.007251645949004415,0.02142217239796526,22
oulab,2,base_svm,static_full,cutoff_valid,auc,0.06575431971402668,0.048872994588431286,0.0845314517865296,22
oulab,2,base_svm,static_full,cutoff_valid,pr_auc_risk,0.14773183198451345,0.11387312651861754,0.1806880858797388,22
oulab,2,base_svm,static_full,cutoff_valid,brier,-0.018148581225212707,-0.02359788121438642,-0.011804613332488268,22
oulab,2,base_svm,static_full,cutoff_valid,ece,0.016477367235311985,-0.013849940175805398,0.030422384148809562,22
oulab,2,flat_hgb,activity_conditioned,cutoff_valid,auc,-0.0021069325581510867,-0.011354239770955213,0.005339528034717414,22
oulab,2,flat_hgb,activity_conditioned,cutoff_valid,pr_auc_risk,0.00957314554328792,-0.01624633048440594,0.03203893713123799,22
oulab,2,flat_hgb,activity_conditioned,cutoff_valid,brier,0.0014946153819391794,-0.0005189505745840956,0.0038804255464036357,22
oulab,2,flat_hgb,activity_conditioned,cutoff_valid,ece,-0.0019691203500375645,-0.007627427810095635,0.007293121683419059,22
oulab,2,flat_hgb,activity_to_cutoff_valid,cutoff_valid,auc,-0.0007666428417733018,-0.002252432754813066,0.0006784445855615387,22
oulab,2,flat_hgb,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.0024722657466793585,-0.007104443645514582,0.0024048210461358587,22
oulab,2,flat_hgb,activity_to_cutoff_valid,cutoff_valid,brier,0.001211031911278554,-0.0005618484767689072,0.0032526690025893213,22
oulab,2,flat_hgb,activity_to_cutoff_valid,cutoff_valid,ece,0.021727973697199365,-0.012763761753524146,0.024773362371828603,22
oulab,2,flat_hgb,cutoff_valid_to_activity,cutoff_valid,auc,-0.002295025751337776,-0.011345010111204826,0.00502659229557991,22
oulab,2,flat_hgb,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.008656828343885259,-0.018193976227141542,0.032483475919503776,22
oulab,2,flat_hgb,cutoff_valid_to_activity,cutoff_valid,brier,0.0019130902756427648,-1.7567423458135462e-05,0.00401901863769271,22
oulab,2,flat_hgb,cutoff_valid_to_activity,cutoff_valid,ece,0.00701650129013782,-0.025351131917927473,0.02769560778098988,22
oulab,2,flat_hgb,static_full,cutoff_valid,auc,0.05638799901813629,0.04604971254581467,0.06677137852830901,22
oulab,2,flat_hgb,static_full,cutoff_valid,pr_auc_risk,0.1335104944357126,0.1073241655678108,0.1601460605155715,22
oulab,2,flat_hgb,static_full,cutoff_valid,brier,-0.01811631783624429,-0.02191253885179102,-0.013249960406618296,22
oulab,2,flat_hgb,static_full,cutoff_valid,ece,0.002015293331981702,-0.006336726226250572,0.008874281285416535,22
oulab,2,stack_7_full,activity_conditioned,cutoff_valid,auc,0.007599533772777334,-0.002523320303538243,0.016234867039913073,22
oulab,2,stack_7_full,activity_conditioned,cutoff_valid,pr_auc_risk,0.017374600488325176,-0.009273892915417003,0.04099853397581597,22
oulab,2,stack_7_full,activity_conditioned,cutoff_valid,brier,-0.0016606190159976775,-0.004114299562235223,0.0012477440038543963,22
oulab,2,stack_7_full,activity_conditioned,cutoff_valid,ece,0.0001991077057654552,-0.004740344420747126,0.005766775791845205,22
oulab,2,stack_7_full,activity_to_cutoff_valid,cutoff_valid,auc,-0.000735865349660414,-0.0022244447324793193,0.0005943502263926087,22
oulab,2,stack_7_full,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.005981797050772619,-0.009216704460430566,-0.0025531482149503577,22
oulab,2,stack_7_full,activity_to_cutoff_valid,cutoff_valid,brier,0.0009785484765104657,-0.00048508554384798646,0.002519093822107911,22
oulab,2,stack_7_full,activity_to_cutoff_valid,cutoff_valid,ece,0.014228456016290403,-0.01314026119183484,0.019731449051242494,22
oulab,2,stack_7_full,cutoff_valid_to_activity,cutoff_valid,auc,0.0065848887370548725,-0.0032429885006203807,0.01491376917760976,22
oulab,2,stack_7_full,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.01632890216277183,-0.009599930238843979,0.039009010712398394,22
oulab,2,stack_7_full,cutoff_valid_to_activity,cutoff_valid,brier,-0.0007638106877809747,-0.0030971926047796278,0.001715642515338487,22
oulab,2,stack_7_full,cutoff_valid_to_activity,cutoff_valid,ece,0.011701627727051332,-0.015973822862148483,0.023138603378200735,22
oulab,2,stack_7_full,static_full,cutoff_valid,auc,0.0584267369879371,0.0480762630420589,0.06874294255105151,22
oulab,2,stack_7_full,static_full,cutoff_valid,pr_auc_risk,0.13274659744800543,0.10603684774669421,0.1612069356435953,22
oulab,2,stack_7_full,static_full,cutoff_valid,brier,-0.02077882496434036,-0.024248589689343528,-0.016731785597055175,22
oulab,2,stack_7_full,static_full,cutoff_valid,ece,0.0024952043892731346,-0.0058254640027988165,0.006243849685918158,22
oulab,2,temporal_hgb,activity_conditioned,cutoff_valid,auc,0.003267448932878003,-0.007616864767869144,0.011623131791404218,22
oulab,2,temporal_hgb,activity_conditioned,cutoff_valid,pr_auc_risk,0.009738826157764668,-0.01854303559260846,0.03385553990826505,22
oulab,2,temporal_hgb,activity_conditioned,cutoff_valid,brier,0.0003741403854987668,-0.0017934014667755223,0.0030855556534849417,22
oulab,2,temporal_hgb,activity_conditioned,cutoff_valid,ece,0.0015012811096229471,-0.006831846916911941,0.007467542299963817,22
oulab,2,temporal_hgb,activity_to_cutoff_valid,cutoff_valid,auc,0.0001223953445907977,-0.0008381336156064678,0.0010739446804015975,22
oulab,2,temporal_hgb,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.0019155586172283634,-0.006136424296921053,0.0033767587179993927,22
oulab,2,temporal_hgb,activity_to_cutoff_valid,cutoff_valid,brier,0.001303386527195527,-0.0011212750694280626,0.004206623718223803,22
oulab,2,temporal_hgb,activity_to_cutoff_valid,cutoff_valid,ece,0.02298716925338627,-0.02083826604877863,0.026335334358485066,22
oulab,2,temporal_hgb,cutoff_valid_to_activity,cutoff_valid,auc,0.001942935246407429,-0.008812287602738403,0.010338416073620871,22
oulab,2,temporal_hgb,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.006409995929018697,-0.021584727142285404,0.030702037376290993,22
oulab,2,temporal_hgb,cutoff_valid_to_activity,cutoff_valid,brier,0.0012137117469047665,-0.0008487776891306448,0.0033874186086818407,22
oulab,2,temporal_hgb,cutoff_valid_to_activity,cutoff_valid,ece,0.013412519178833286,-0.02389656073498464,0.027412011697213873,22
oulab,2,temporal_hgb,static_full,cutoff_valid,auc,0.065517091753856,0.05424903161692255,0.07701628675245352,22
oulab,2,temporal_hgb,static_full,cutoff_valid,pr_auc_risk,0.1444628855190513,0.11882559466893773,0.17034508044561522,22
oulab,2,temporal_hgb,static_full,cutoff_valid,brier,-0.019821139230800616,-0.02380129294127851,-0.014537040336165912,22
oulab,2,temporal_hgb,static_full,cutoff_valid,ece,0.003120923992402551,-0.007223519950088926,0.008465356465529794,22
oulab,4,base_dffnn,activity_conditioned,cutoff_valid,auc,0.026639764705308044,0.019744858896570204,0.032101215390650015,22
oulab,4,base_dffnn,activity_conditioned,cutoff_valid,pr_auc_risk,0.06955420314202188,0.04732727880337219,0.08893327539795615,22
oulab,4,base_dffnn,activity_conditioned,cutoff_valid,brier,-0.010906842028558406,-0.013265890555654594,-0.008028275428430787,22
oulab,4,base_dffnn,activity_conditioned,cutoff_valid,ece,-0.010304838556074565,-0.017067884917997083,-0.002613357500911686,22
oulab,4,base_dffnn,activity_to_cutoff_valid,cutoff_valid,auc,0.002784723235432107,0.0009717692345926926,0.0046987642230767535,22
oulab,4,base_dffnn,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,0.009185967481005974,0.0030927979624647715,0.012688772939892772,22
oulab,4,base_dffnn,activity_to_cutoff_valid,cutoff_valid,brier,-0.0013771126277217216,-0.002212762502989429,-0.0006104030990999456,22
oulab,4,base_dffnn,activity_to_cutoff_valid,cutoff_valid,ece,-0.0025256592500310718,-0.006608622236909918,0.0018534424384951639,22
oulab,4,base_dffnn,cutoff_valid_to_activity,cutoff_valid,auc,0.021152730149603616,0.013974954070234243,0.027400714151412927,22
oulab,4,base_dffnn,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.05006887398752857,0.030635739082108055,0.0669607586803865,22
oulab,4,base_dffnn,cutoff_valid_to_activity,cutoff_valid,brier,-0.008817691120169197,-0.011274485707310879,-0.005999792570571957,22
oulab,4,base_dffnn,cutoff_valid_to_activity,cutoff_valid,ece,-0.01043458967472869,-0.017231366039719764,0.001607298845065578,22
oulab,4,base_dffnn,static_full,cutoff_valid,auc,0.07393881003177205,0.05975072971843048,0.09034242430934884,22
oulab,4,base_dffnn,static_full,cutoff_valid,pr_auc_risk,0.16852722962419953,0.11463354416287797,0.2160466018461928,22
oulab,4,base_dffnn,static_full,cutoff_valid,brier,-0.031306107972085606,-0.03912338705205496,-0.02490299890384493,22
oulab,4,base_dffnn,static_full,cutoff_valid,ece,-0.010740785495920294,-0.02504012816019454,-0.002374831931792598,22
oulab,4,base_knn,activity_conditioned,cutoff_valid,auc,0.017742640989746983,0.010008357716975665,0.02348690154401899,22
oulab,4,base_knn,activity_conditioned,cutoff_valid,pr_auc_risk,0.052218231409387195,0.03133103851553447,0.06594632222718627,22
oulab,4,base_knn,activity_conditioned,cutoff_valid,brier,-0.005756444264210264,-0.008045748558924717,-0.003085862059400728,22
oulab,4,base_knn,activity_conditioned,cutoff_valid,ece,-0.0016442634476965812,-0.010952551402620895,0.006434781708880334,22
oulab,4,base_knn,activity_to_cutoff_valid,cutoff_valid,auc,0.0010233321374871762,-0.003219590621743476,0.0048204893588099105,22
oulab,4,base_knn,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,0.006332465897887607,-0.005581561251440445,0.015571439415964271,22
oulab,4,base_knn,activity_to_cutoff_valid,cutoff_valid,brier,7.815216996551189e-05,-0.002063983749379157,0.0028397517331777387,22
oulab,4,base_knn,activity_to_cutoff_valid,cutoff_valid,ece,0.0036638460141638005,-0.013306470394560626,0.02076212654937001,22
oulab,4,base_knn,cutoff_valid_to_activity,cutoff_valid,auc,0.012674152744154621,0.004856300523954607,0.01885489987910772,22
oulab,4,base_knn,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.028221178440252626,0.0028583807079909404,0.058290321846248695,22
oulab,4,base_knn,cutoff_valid_to_activity,cutoff_valid,brier,-0.0028398613107636916,-0.005381950067052625,-0.00040844201092333604,22
oulab,4,base_knn,cutoff_valid_to_activity,cutoff_valid,ece,0.017217457784517862,-0.020718659766570533,0.02496875716143208,22
oulab,4,base_knn,static_full,cutoff_valid,auc,0.06771607033820204,0.05479396817560644,0.0828681609534454,22
oulab,4,base_knn,static_full,cutoff_valid,pr_auc_risk,0.16388094151185817,0.12082153459260593,0.20782983536232846,22
oulab,4,base_knn,static_full,cutoff_valid,brier,-0.02594846282663507,-0.032185219317767425,-0.020089911390109877,22
oulab,4,base_knn,static_full,cutoff_valid,ece,-0.0023340005357746323,-0.01415925061102237,0.0037216480668195782,22
