dataset,week,protocol,model,n,n_clusters,cluster_unit,auc_mean,auc_ci_low,auc_ci_high,pr_auc_risk_mean,pr_auc_risk_ci_low,pr_auc_risk_ci_high,brier_mean,brier_ci_low,brier_ci_high,ece_mean,ece_ci_low,ece_ci_high
oulab,4,discrete_hazard,temporal_hgb,27535,22,presentation,0.6783764029311274,0.6180436711674496,0.7566676182705936,0.0205945366326533,0.011984660216184974,0.036101136757850434,0.010840762645669098,0.006865821751915403,0.01590659492024207,0.0007127888407357785,7.700848138852428e-05,0.005966149179275839
oulab,6,discrete_hazard,base_dffnn,27022,22,presentation,0.6979891590819105,0.6343625860644121,0.7524663021228023,0.026553280027582307,0.016008886719964477,0.04723318046290608,0.008957969961385539,0.00701530123400926,0.010996311195313226,0.0012984037824299577,8.042164726785828e-05,0.003850337064071404
oulab,6,discrete_hazard,base_knn,27022,22,presentation,0.5814554381912209,0.5426519846733902,0.6194097611378494,0.01604971526882172,0.009265871220720381,0.029022584076342183,0.009138560876322996,0.007265003322551258,0.011118445980167114,0.0014182517948337799,0.00014149859237338366,0.004783028462215601
oulab,6,discrete_hazard,base_lr_clickstream,27022,22,presentation,0.6751396257053398,0.6062468175309215,0.7375697228967716,0.014775761036736062,0.010090060973559111,0.024856163713759972,0.009039890145450478,0.007067584450667572,0.011120226738203806,0.00035634793152625703,9.110069352856791e-05,0.0028741541196715516
oulab,6,discrete_hazard,base_lr_profile,27022,22,presentation,0.601841671706977,0.565396549271609,0.6476673757489053,0.01751533410492044,0.012858938874882117,0.02406424992638543,0.009004373072596777,0.007021401175972219,0.011117196245282153,0.00044940024012549715,3.549533000528192e-05,0.002791595989427685
oulab,6,discrete_hazard,base_lr_weekly,27022,22,presentation,0.6494240989989822,0.5774679951125538,0.7211371268351158,0.01594095408867561,0.009901786416270573,0.026547120336071314,0.009046755362332307,0.007128942909969032,0.01110685563176529,0.002734744280753598,0.00013872150610309085,0.0065359337274149805
oulab,6,discrete_hazard,base_rf_entropy,27022,22,presentation,0.6967500321851142,0.6432829446778494,0.7488917742909396,0.022770290864791085,0.016119627409129735,0.031278411935687915,0.014267873007055343,0.012241125484810985,0.01643065654889808,0.05275859127140314,0.04399068871052265,0.0630483125249757
oulab,6,discrete_hazard,base_rf_gini,27022,22,presentation,0.6949356722802363,0.6395499081126216,0.7485940999475043,0.02284842500877913,0.016188086010154406,0.03152180484727374,0.014307054830442197,0.01229290119400463,0.016456698007945716,0.05263546136659267,0.04441984761832439,0.06211728258589358
oulab,6,discrete_hazard,base_svm,27022,22,presentation,0.6693956455362283,0.6053301477928509,0.7311477853412333,0.014209682518031886,0.0098822045378122,0.022879354341768982,0.009026958750030884,0.0070319788882343805,0.011124291409592535,0.0013051217216317854,0.00010975723101583076,0.0036149439544108266
oulab,6,discrete_hazard,flat_hgb,27022,22,presentation,0.6829238688450524,0.6259562460153223,0.7346044580591089,0.02427063024785822,0.01596379489044906,0.03352339382428619,0.008964614285446334,0.00701688006539421,0.011020618344734064,0.0007886126786931236,5.1667389730472245e-05,0.002899541165031358
oulab,6,discrete_hazard,stack_7_full,27022,22,presentation,0.7626490535147359,0.7183420611599384,0.8082029086121503,0.041668481833567084,0.028730612789585868,0.05518065844204367,0.008874413416030817,0.0069374011254617375,0.01090171599070865,0.00028024493378021745,8.406308823357047e-05,0.0020383112399678686
oulab,6,discrete_hazard,temporal_hgb,27022,22,presentation,0.6784393589939783,0.6132762013966191,0.7351582848510936,0.023207334005030916,0.012657483064943508,0.04039937063144029,0.008982598159652482,0.007029374033553216,0.0110679429521352,0.0008275803877466625,6.040486006467225e-05,0.0035520735249922756
oulab,8,discrete_hazard,base_dffnn,26523,22,presentation,0.7657124809215214,0.7128006152048935,0.8123336572927305,0.02599572215714486,0.018263758179186667,0.03901854073581777,0.008525407097627904,0.006609734525740455,0.010154302640449189,0.0011126882889512266,6.844180307536625e-05,0.0032915431051663124
oulab,8,discrete_hazard,base_knn,26523,22,presentation,0.6201503458516815,0.576678005321163,0.6577951351522505,0.014695054931227598,0.010107061952554878,0.023936331434887166,0.008834172303283943,0.006974032904546377,0.010408970787953649,0.001712174339252812,0.001045999739061642,0.0041617938192439075
oulab,8,discrete_hazard,base_lr_clickstream,26523,22,presentation,0.7165788050712787,0.6331518479555701,0.7851234868030069,0.016782094068480035,0.009827199649218793,0.031680405534321256,0.008608198879373688,0.0066888363893418965,0.010243587846732396,0.0010461735456207667,0.00012969871399731535,0.0033873758910734396
oulab,8,discrete_hazard,base_lr_profile,26523,22,presentation,0.6168527248945412,0.5660784544480539,0.6670584973881669,0.01467309207096461,0.01007480400031321,0.021056096158011805,0.008583325470747265,0.006647056663149689,0.010221011991694659,0.00038810639364105594,4.601537636028129e-05,0.002160760141341131
oulab,8,discrete_hazard,base_lr_weekly,26523,22,presentation,0.7303611971445533,0.660101721648586,0.7916476826867147,0.017535023857879035,0.01125206592565624,0.02886031026917825,0.008559446261683791,0.00664742768193768,0.010180956402394954,0.0005461145513663279,5.921491635041019e-05,0.003279505353541004
oulab,8,discrete_hazard,base_rf_entropy,26523,22,presentation,0.7941465657085123,0.752833913912722,0.8296737611671533,0.030320260151464502,0.019534032666849773,0.045268150221896314,0.012024822481660388,0.010503008448712,0.01346394185718126,0.03852279155338889,0.03213118287099189,0.04577762688858298
oulab,8,discrete_hazard,base_rf_gini,26523,22,presentation,0.7927176848194015,0.7502209281400164,0.8285028024624005,0.030077187982229654,0.019666850179939833,0.04456911497163167,0.012102309674063958,0.01058113892764904,0.013551027798224398,0.038853606953819855,0.032689008592642545,0.04602720050593784
oulab,8,discrete_hazard,base_svm,26523,22,presentation,0.7243621628504198,0.6409375203397271,0.7921126538410135,0.017574262347922563,0.01019668630903412,0.033827011449484766,0.008595733626451581,0.006668974209990708,0.010216534514670438,0.0017201574147125036,0.00017869490789338446,0.0037953924850856247
oulab,8,discrete_hazard,flat_hgb,26523,22,presentation,0.7578480964515271,0.7051122578380115,0.804257462881319,0.023337635142430285,0.01654680214867652,0.03523837521726509,0.008542860882182084,0.006617134282221596,0.010157693249317618,4.2895878801382225e-05,4.405818001564113e-05,0.0027294715880607653
oulab,8,discrete_hazard,stack_7_full,26523,22,presentation,0.8150582317330286,0.7758919759568841,0.8512231720676104,0.04151902022805367,0.02933623221830624,0.06231444694225643,0.008439700826976542,0.006535862600919082,0.010038313691722941,9.224746002579565e-05,8.339139804306987e-05,0.0020762957651013184
oulab,8,discrete_hazard,temporal_hgb,26523,22,presentation,0.7847203504321698,0.7374743988109782,0.8299216690542796,0.029289697300815185,0.0195659673163462,0.043036492978236696,0.008504505502709037,0.006608095597335124,0.01010846458881415,0.00024861359612149414,4.3274124949353286e-05,0.003126301504164118
oulab,10,discrete_hazard,base_dffnn,26075,22,presentation,0.759634586033249,0.7028622650798686,0.8097529380439832,0.02834992020538986,0.014910731439898803,0.04503997342312409,0.007662685074346658,0.005883392499604471,0.009772137240743281,0.0006948070876236505,5.308799699261074e-05,0.003187260603315396
oulab,10,discrete_hazard,base_knn,26075,22,presentation,0.6079281746285617,0.5545618422476892,0.6605315646911728,0.014708785250697309,0.00879469569151445,0.02509224462708193,0.007801669338446788,0.006048800253614347,0.00987782682355321,0.0007076510067113857,8.285560865187425e-05,0.0034895038846034683
oulab,10,discrete_hazard,base_lr_clickstream,26075,22,presentation,0.7153335024112646,0.6598825817865445,0.7661655255153289,0.019254186881591456,0.012643199893993593,0.029253964464191626,0.007741255514046185,0.005927219516983346,0.009888865834079743,0.0010000429771005773,0.0001246362592417553,0.003314801480076968
oulab,10,discrete_hazard,base_lr_profile,26075,22,presentation,0.5361873421558503,0.4963085302203468,0.5873337291845033,0.011129585988950074,0.00820573870593571,0.017650978955031146,0.007725277750254125,0.00591181241768039,0.009872955200776475,0.00015814966006936457,4.020945540340064e-05,0.0025567424805110115
oulab,10,discrete_hazard,base_lr_weekly,26075,22,presentation,0.7417705886653809,0.6868291195254198,0.7932586461283331,0.019397971434608065,0.0147395283304427,0.03146673327891154,0.007688584233964637,0.00590959029512577,0.009791449716154628,0.000362891265206635,7.644585916865235e-05,0.0037567670118617384
oulab,10,discrete_hazard,base_rf_entropy,26075,22,presentation,0.7594693161635455,0.7052899568498935,0.804309212456933,0.020888461280572364,0.012597193026128679,0.034297486809254686,0.010503620773233724,0.008984130840653838,0.012122115238645932,0.03381304388406993,0.027666719338600414,0.040307435254955136
oulab,10,discrete_hazard,base_rf_gini,26075,22,presentation,0.758827657798453,0.7055708641390999,0.8029107143903487,0.021379847050130508,0.012739441118821616,0.03618357818196653,0.01052527236780855,0.009037583156983027,0.012106636324729055,0.03402946312519524,0.028125206050506495,0.04002091578349245
oulab,10,discrete_hazard,base_svm,26075,22,presentation,0.7199092691263698,0.6611537748612166,0.7743056187702331,0.017709304118701284,0.011600043526407117,0.026902733697856417,0.007732509614642799,0.005920595931915685,0.009870927011078272,0.001260695999386111,0.00014253378888550653,0.0035729038583708385
oulab,10,discrete_hazard,flat_hgb,26075,22,presentation,0.7369749063978479,0.6798380186733426,0.7846355509941947,0.020415298206688803,0.012758130677920816,0.03185323206159641,0.007684048337959707,0.005907181897881154,0.00977814126104388,6.368147294166793e-05,4.32432549997487e-05,0.0028072216646280305
oulab,10,discrete_hazard,stack_7_full,26075,22,presentation,0.797334014214732,0.7489092515390927,0.8372396266961308,0.03090880473926943,0.02025737898843717,0.05123867360716477,0.00763439616909985,0.0058517148542287555,0.009730072147230328,0.00022934323349271633,0.00010951784549011655,0.0027639899197910377
oulab,10,discrete_hazard,temporal_hgb,26075,22,presentation,0.7779809695933904,0.732195506846241,0.8152253568938077,0.03116695777853696,0.020021437644001393,0.047628709850801955,0.007636832025715705,0.005856215631538547,0.009743883734410055,5.146126863220246e-05,3.845776493707222e-05,0.002788272559814352
oulab,12,discrete_hazard,base_dffnn,25729,22,presentation,0.7352424871030643,0.6755727400413917,0.7847034960574121,0.029835757474157988,0.013976978678981657,0.04879039152404549,0.006555975416531819,0.0045824684171341485,0.008604613261562843,0.0016655499677900635,0.00015972842217777078,0.0037955304753890698
oulab,12,discrete_hazard,base_knn,25729,22,presentation,0.607947798128234,0.5549196918337737,0.6520294565986495,0.010600431841355281,0.007100120265210385,0.0168019214321052,0.006688213922033503,0.004680701732169375,0.00877071410282015,0.00029414279606665845,5.85184884881044e-05,0.0026582597093180883
oulab,12,discrete_hazard,base_lr_clickstream,25729,22,presentation,0.6877087042932735,0.6439666149208203,0.7294915033050068,0.011954168676128304,0.008298328073464771,0.016855350965371604,0.006663549243767686,0.004667446615484248,0.008740240800724292,0.0010663442073130882,0.00013913093142568466,0.0032009445496615483
oulab,12,discrete_hazard,base_lr_profile,25729,22,presentation,0.6368786692714518,0.5864306142126012,0.6935811534992069,0.011579418693928053,0.007529920129737523,0.017348550911558836,0.00659473540562274,0.004572567052734728,0.00869402889600991,0.0009847702150074735,5.3620367767326654e-05,0.0029660156320750193
oulab,12,discrete_hazard,base_lr_weekly,25729,22,presentation,0.6924976054921979,0.6242645218492626,0.7478213088769629,0.011790497093272755,0.007505376102612003,0.020955590213530093,0.006641184806310709,0.004654384966797258,0.008703529663056087,0.0025465884789729865,0.0001523096334698411,0.006017207518668093
oulab,12,discrete_hazard,base_rf_entropy,25729,22,presentation,0.7059365946232146,0.6313445837909706,0.7618283297136131,0.01401658788414325,0.008141401995127138,0.023550794276029775,0.009181325391669225,0.007276085952729931,0.011125186998817283,0.03441407523984913,0.029188450593594043,0.0399577797400061
oulab,12,discrete_hazard,base_rf_gini,25729,22,presentation,0.6966738650627926,0.6181601680882676,0.7570438463938391,0.014085076081857075,0.008115142626296543,0.024713169127389686,0.009205410981118335,0.00729942790628701,0.011154712919439595,0.03479862153355423,0.029752650795430345,0.040214469466052345
oulab,12,discrete_hazard,base_svm,25729,22,presentation,0.7022757319780397,0.6644565760476403,0.7374688434694125,0.012398310706696536,0.008443480304094397,0.017901143404294193,0.0066369666166944076,0.004617222032267172,0.008732656819736014,0.0008484376359755292,0.00012480440125299446,0.002847374254866117
oulab,12,discrete_hazard,flat_hgb,25729,22,presentation,0.7378805642846977,0.6919805439313707,0.7799507502280937,0.019902498429103514,0.012423380220744585,0.030802361511799724,0.006561443966709932,0.004559144911377367,0.008644951372218622,0.0006713894511730656,4.021573601485111e-05,0.0026034661351474475
oulab,12,discrete_hazard,stack_7_full,25729,22,presentation,0.7766897811605207,0.7375815563830043,0.8137059813043752,0.023715552631104694,0.016505000581306807,0.03397160857244912,0.006554236880286443,0.004558657667535429,0.008628628030235766,0.0012222542536533927,0.0001076888912034302,0.0030957160683809434
oulab,12,discrete_hazard,temporal_hgb,25729,22,presentation,0.719620640405563,0.6589069885212325,0.7650918485422308,0.020188583042869277,0.011901346303540825,0.03581295777973164,0.0065687634872563724,0.0045738390708472704,0.00865221900843618,0.0007505322368621652,5.0012016902310804e-05,0.0028081320152170317
oulab,14,discrete_hazard,base_dffnn,25354,22,presentation,0.739959300305421,0.6967749307692109,0.7767214116140967,0.025639299275984323,0.017167696115120017,0.04188371553235377,0.008467523506539457,0.006738668117436729,0.010156327425879833,0.00028072744949828786,6.35968232219815e-05,0.002556416887824751
oulab,14,discrete_hazard,base_knn,25354,22,presentation,0.6017651133795455,0.5712892837732996,0.6314911134472512,0.013194960968919143,0.009924268873865789,0.018405075732520745,0.008584608976887275,0.006836997024170393,0.010273000166740152,0.0019051826141831428,0.0002075703462024831,0.0038701336916171563
oulab,14,discrete_hazard,base_lr_clickstream,25354,22,presentation,0.6975252789960231,0.6467768215222605,0.7407039366194659,0.017113944528827186,0.011992905317560098,0.024608104362630046,0.008571019426861006,0.006852714615592662,0.010265814283423564,0.0008525319813940054,0.00014430645948082052,0.0027260994481600625
oulab,14,discrete_hazard,base_lr_profile,25354,22,presentation,0.5750133037742569,0.5356909816999992,0.6251366966841521,0.011362467222026421,0.00910652519758922,0.014533770049047523,0.008524141225472313,0.006750682718689398,0.010243976525438046,0.0012889124819801575,0.00010288529568807734,0.0030997039662279033
oulab,14,discrete_hazard,base_lr_weekly,25354,22,presentation,0.7212758921740958,0.657899340742576,0.7744552221475659,0.01818112228626499,0.012451169549129382,0.03432284860810014,0.008569295281577799,0.0068692353143555915,0.01022335562665899,0.0008695766237126379,0.00023835527761287802,0.005915018640829006
oulab,14,discrete_hazard,base_rf_entropy,25354,22,presentation,0.6931134080145294,0.6488358849395118,0.7364460804176539,0.016806919766290757,0.012370798075142112,0.022485105669513707,0.010811704738076923,0.009126653569019016,0.01247227185594108,0.033642349407481974,0.02889101073046015,0.03880205535906594
oulab,14,discrete_hazard,base_rf_gini,25354,22,presentation,0.6843026230881983,0.635327351088228,0.729679188304761,0.01629976398376931,0.012077178833256024,0.021516584787749662,0.010783747563358584,0.009093499129791507,0.012441878247153869,0.033442575464452416,0.02922660932929654,0.03815467807221046
oulab,14,discrete_hazard,base_svm,25354,22,presentation,0.7064787738190483,0.6535168869185772,0.752553852930247,0.016687108862415964,0.011925030030482342,0.02642420150362672,0.008545678818236946,0.006787624576085711,0.010248164875149351,0.0010059260978516696,0.00013053015865877943,0.0028105144041857136
oulab,14,discrete_hazard,flat_hgb,25354,22,presentation,0.7755612221806948,0.7310116929950868,0.8148588601509396,0.030033043803976273,0.020214451508780668,0.04726373797553887,0.008441764250432523,0.0067115776462384185,0.01012822951955333,0.0009860356095194231,8.656650650191127e-05,0.0025576600188490384
oulab,14,discrete_hazard,stack_7_full,25354,22,presentation,0.7984763802346428,0.7533803629937726,0.8349525217568391,0.03982451198731649,0.028926154058430555,0.056722726184559175,0.008390097385844644,0.006663135065459372,0.010072204303913652,0.0009697882639336299,0.00013165314748153623,0.0023809400108424183
oulab,14,discrete_hazard,temporal_hgb,25354,22,presentation,0.7508333564491735,0.70243268763296,0.7916379434837827,0.023922885263071653,0.01654136536049185,0.03442022122041262,0.00847505063066384,0.0067603249169084405,0.010150843324817407,0.00023552192590222185,0.00012792429327343862,0.0028045846339073465
oulab,16,discrete_hazard,base_dffnn,24939,22,presentation,0.7243188279934516,0.6766586973911082,0.7701614535776923,0.02483127878364314,0.014463259527852863,0.04309224320048245,0.006044930678765048,0.00466873720469257,0.0074661623429457665,0.0010143798543153246,8.11213453772754e-05,0.0028019192670512404
oulab,16,discrete_hazard,base_knn,24939,22,presentation,0.6236864400481577,0.5877392372247806,0.6583088328625635,0.009945102794472646,0.006842550075812137,0.014493035985554473,0.006120804843818918,0.004764111624165375,0.00756328929018037,0.00026913669353212377,3.702418585935541e-05,0.0018902327712795252
oulab,16,discrete_hazard,base_lr_clickstream,24939,22,presentation,0.6731834174535463,0.6237891725018035,0.7112604604303355,0.010680254046759846,0.008218882531777709,0.014812670072224633,0.006165539976664526,0.004814073921246522,0.0075860673440073766,0.0024779582420684323,0.000709753588110618,0.004561839718957896
oulab,16,discrete_hazard,base_lr_profile,24939,22,presentation,0.5864901858571875,0.5192501938261294,0.647724522054815,0.008479082923521227,0.00658973939064235,0.011013902675974305,0.006060447759705615,0.004674618247817764,0.007513765619564788,0.0009381127326627045,6.181837686394155e-05,0.002310589407248501
oulab,16,discrete_hazard,base_lr_weekly,24939,22,presentation,0.6726732816225823,0.6185455991725156,0.7247612801789801,0.01419721510053755,0.010676429512128958,0.030304677498115818,0.0061132364723767395,0.004743210007009248,0.007546996255496638,0.0018927721946441997,0.00020085699918915973,0.004276153672297056
oulab,16,discrete_hazard,base_rf_entropy,24939,22,presentation,0.6786016863678541,0.6304500028824588,0.7248978847151311,0.012592400656965905,0.009261199790637586,0.018062813312832715,0.007928071134952936,0.00667246009105992,0.009249066318087607,0.03069301216019954,0.026716128634568962,0.03527097201104077
oulab,16,discrete_hazard,base_rf_gini,24939,22,presentation,0.6800981201945842,0.6262952913874856,0.731708090621472,0.012404086089073181,0.009012211245885719,0.018552999432069457,0.007884389997420756,0.0066209269956324,0.009187057705027916,0.03113170810089631,0.027473579823124775,0.03556418100493725
oulab,16,discrete_hazard,base_svm,24939,22,presentation,0.6797477667622884,0.6334400416167447,0.714447945877557,0.010447234880107473,0.007519602049907458,0.014629971341905273,0.006127296470871402,0.004752743122805954,0.0075618782592740946,0.002452726519439453,0.0007821882585496451,0.004298988194193801
oulab,16,discrete_hazard,flat_hgb,24939,22,presentation,0.7254116918248743,0.6725096630693853,0.7669390299829003,0.01978619112859046,0.015039109094711154,0.02761505079719685,0.006023443650292297,0.004647499407425342,0.007460140608823314,0.0007049933133442118,3.699987215220531e-05,0.002003118342552858
oulab,16,discrete_hazard,stack_7_full,24939,22,presentation,0.7831498047575873,0.7365892466068722,0.8183405283733208,0.0239764536918797,0.01812114112581542,0.0345628516555879,0.006024634602632315,0.004667117980249706,0.0074486044868392436,0.0011331514754523227,0.00012172170842715202,0.0026776062648032296
oulab,16,discrete_hazard,temporal_hgb,24939,22,presentation,0.7215907160587149,0.6763212051224656,0.7635540441457974,0.016777409487374013,0.012688715573690692,0.030019405727666027,0.0060516871976923035,0.004677536148014721,0.007492018549915809,0.0010175249491067905,0.00011277498675669152,0.0029498827664607356
