dataset,week,model,protocol,train_protocol,eval_protocol,membership_class,n,n_clusters,risk_rate,mean_predicted_risk,auc,pr_auc_risk,brier,ece
oulab,6,flat_hgb,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,607,20,0.8797364085667215,0.8681415123735665,0.31618439279667543,0.8300420957735607,0.11024534433207081,0.08451553600477682
oulab,6,stack_7_full,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,26415,22,0.4205186447094454,0.4355442372573446,0.7866332428701648,0.7556989279098754,0.18184980801051387,0.01682070219414485
oulab,6,stack_7_full,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,607,20,0.8797364085667215,0.8556607961686613,0.8179287876455799,0.9690418163366611,0.09134342724438742,0.04763371106252743
oulab,6,stack_7_full,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,26415,22,0.4205186447094454,0.42703637707399694,0.7871977544971492,0.7568861637982673,0.18130787603602505,0.011869851199289004
oulab,6,stack_7_full,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,607,20,0.8797364085667215,0.8766464607272245,0.8206095120824995,0.9689284623966269,0.08813128074869528,0.03303956811660436
oulab,6,temporal_hgb,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,26415,22,0.4205186447094454,0.4589914839320219,0.7335108426295862,0.6616582344113112,0.2074322554376653,0.04632451250690035
oulab,6,temporal_hgb,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,607,20,0.8797364085667215,0.8917369420842836,0.3146452208711713,0.8302008089987667,0.10867702896932141,0.06659507102985776
oulab,6,temporal_hgb,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,26415,22,0.4205186447094454,0.44027933087683446,0.7334374791728122,0.6617769087494572,0.20509721575668904,0.026745435429268414
oulab,6,temporal_hgb,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,607,20,0.8797364085667215,0.8676382126709914,0.31618439279667543,0.8300420957735607,0.11019851938394114,0.08468938327298536
oulab,8,base_dffnn,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.42805090721827904,0.7965746884655324,0.769484464567074,0.1768125680778579,0.037189899764203685
oulab,8,base_dffnn,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,534,20,0.9157303370786517,0.8782803308778855,0.8633492388093615,0.9860722947714475,0.07035821306697361,0.04483974184463628
oulab,8,base_dffnn,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.42691720294508056,0.7971384648969597,0.769414073590432,0.17588731382927728,0.030020583978803143
oulab,8,base_dffnn,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,534,20,0.9157303370786517,0.9271116913050091,0.8463531015678255,0.9847124949283865,0.07021004586141323,0.02955543522649773
oulab,8,base_knn,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.43469313940513293,0.7503714764187275,0.6938027210303668,0.19658429643310635,0.02850652199007269
oulab,8,base_knn,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,534,20,0.9157303370786517,1.0,0.5,0.9157303370786517,0.08426966292134831,0.08426966292134831
oulab,8,base_knn,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,25989,22,0.4098657124167917,0.415023740813421,0.7493872059182765,0.686013938488344,0.1965773377967602,0.016796183000500224
